,Wavlength,Coefficient
457,4404.49707,0.086299013
458,4404.533203,0.008134692
459,6555.507813,0.08313876
460,6555.527832,0.035164763
461,6831.270996,-0.082873097
462,4683.595215,-0.081072856
463,6393.52832,-0.080994123
464,4969.959961,-0.080563754
465,4970.553223,-0.007936983
466,4969.974121,-0.000480647
467,5789.13916,-0.080010779
468,5789.270508,0.049017002
469,5789.79541,-0.045606486
470,6279.502441,-0.07878593
471,6279.639648,0.022567527
472,6199.154297,0.078267594
473,6199.200684,0.054206607
474,5866.521484,-0.078171994
475,4973.157715,-0.077660949
476,4973.144043,-0.003014163
477,4602.889648,-0.077299795
478,5247.114258,-0.076446753
479,5247.022949,-0.037317396
480,5247.64502,-0.020943863
481,5247.127441,-0.018214867
482,5182.945313,0.07565805
483,6249.782227,-0.075647651
484,4371.318359,-0.075478671
485,4371.330078,-0.013077968
486,4374.429688,-0.074348003
487,5790.434082,-0.073852325
488,6585.60791,-0.073599839
489,6584.649414,-0.006061847
490,5594.538574,-0.073560663
491,5624.515625,-0.07219695
492,5624.457031,-0.039028228
493,5264.098145,-0.071967549
494,4455.950195,-0.071356244
495,6256.44043,-0.071121827
496,5194.87207,-0.070680343
497,5107.398926,-0.070006451
498,5107.573242,-0.060977341
499,5107.196777,0.060011669
500,5107.586914,-0.014679578
501,5107.452637,0.011677717
502,5107.600098,-0.005201922
503,6546.150879,-0.069646763
504,6546.336914,-0.058482503
505,5407.363281,0.068229554
506,5407.378906,0.018548606
507,6379.043457,-0.068170354
508,6460.641602,-0.066841786
509,6460.625,-0.015253827
510,6471.742676,-0.065812567
511,5172.056641,0.065573768
512,5172.195313,0.046754877
513,5171.594238,0.005770383
